Time,Lat,Lon,scPDSI
1008,45.75,15.5,-3.293
1008,46.25,15.5,-3.82
1008,46.75,15.5,-1.185
1008,45.25,16,-2.226
1008,45.75,16,-2.056
1008,46.25,16,-1.167
1008,46.75,16,-0.876
1008,45.25,16.5,-2.556
1008,45.75,16.5,-1.826
1008,46.25,16.5,-1.888
1008,46.75,16.5,-1.054
1009,45.25,15.5,0.674
1009,45.75,15.5,-1.051
1009,46.25,15.5,2.008
1009,46.75,15.5,1.884
1009,45.25,16,1.545
1009,45.75,16,-2.626
1009,46.25,16,-0.693
1009,46.75,16,2.263
1009,45.25,16.5,-0.23
1009,45.75,16.5,0.736
1009,46.25,16.5,-0.693
1009,46.75,16.5,0.512
1010,45.25,15.5,-1.059
1010,45.75,15.5,-0.883
1010,46.25,15.5,-0.036
1010,46.75,15.5,-0.023
1010,45.25,16,-0.391
1010,45.75,16,-2.887
1010,46.25,16,0.328
1010,46.75,16,0.96
1010,45.25,16.5,-1.38
1010,45.75,16.5,-1.023
1010,46.25,16.5,-1.594
1010,46.75,16.5,-0.668
1011,45.25,15.5,-2.803
1011,45.75,15.5,-3.068
1011,46.25,15.5,0.406
1011,46.75,15.5,0.436
1011,45.25,16,-2.918
1011,45.75,16,-3.463
1011,46.25,16,0.528
1011,46.75,16,0.931
1011,45.25,16.5,-3.525
1011,45.75,16.5,-3.966
1011,46.25,16.5,-2.372
1011,46.75,16.5,-0.572
1012,45.25,15.5,-0.337
1012,45.75,15.5,-0.399
1012,46.25,15.5,-0.488
1012,46.75,15.5,0.941
1012,45.25,16,0.502
1012,45.75,16,-2.954
1012,46.25,16,0.945
1012,46.75,16,0.434
1012,45.25,16.5,-2.86
1012,45.75,16.5,0.23
1012,46.25,16.5,-4.63
1012,46.75,16.5,0.919
1013,45.25,15.5,-3.7
1013,45.75,15.5,-2.393
1013,46.25,15.5,-1.925
1013,46.75,15.5,-2.412
1013,45.25,16,-3.282
1013,45.75,16,-3.054
1013,46.25,16,-0.794
1013,46.75,16,-0.004
1013,45.25,16.5,-4.011
1013,45.75,16.5,-4.421
1013,46.25,16.5,-3.731
1013,46.75,16.5,-3.131
1014,45.25,15.5,0.361
1014,45.75,15.5,2.333
1014,46.25,15.5,4.657
1014,46.75,15.5,3.901
1014,45.25,16,-0.1
1014,45.75,16,1.38
1014,46.25,16,2.454
1014,46.75,16,4.221
1014,45.25,16.5,-1.037
1014,45.75,16.5,-1.864
1014,46.25,16.5,-0.799
1014,46.75,16.5,2.151
1015,45.25,15.5,-2.472
